symbol,name,sector,market_value,index_weight,amount_shares,isin,country
GE,GE AEROSPACE,Industrials,43181844.3,0.23984,282345,US3696043013,United States
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology,43118723.76,0.23949,237608,US4592001014,United States
DHR,DANAHER CORP,Health Care,42699615.8,0.23716,180655,US2358511028,United States
TTE,TOTALENERGIES,Energy,42353553.62,0.23524,589559,FR0000120271,France
CMCSA,COMCAST CORP CLASS A,Communication,41952270.92,0.23301,1058866,US20030N1019,United States
AMAT,APPLIED MATERIAL INC,Information Technology,41778605.68,0.23205,214999,US0382221051,United States
HSBA,HSBC HOLDINGS PLC,Financials,40693612.68,0.22602,5072518,GB0005405286,United Kingdom
COP,CONOCOPHILLIPS,Energy,39033174.0,0.2168,305400,US20825C1045,United States
NOW,SERVICENOW INC,Information Technology,38899575.68,0.21606,53188,US81762P1021,United States
TXN,TEXAS INSTRUMENT INC,Information Technology,38507786.59,0.21388,235277,US8825081040,United States
INTC,INTEL CORPORATION CORP,Information Technology,38382115.2,0.21318,1095380,US4581401001,United States
BHP,BHP GROUP LTD,Materials,37901588.25,0.21051,1306460,AU000000BHP4,Australia
RTX,RTX CORP,Industrials,37438036.11,0.20794,371741,US75513E1010,United States
PFE,PFIZER INC,Health Care,37312483.86,0.20724,1469574,US7170811035,United States
SIE,SIEMENS N AG,Industrials,36769929.16,0.20423,196604,DE0007236101,Germany
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,36444888.0,0.20242,399615,US7181721090,United States
AMGN,AMGEN INC,Health Care,36420303.0,0.20229,138612,US0311621009,United States
UNP,UNION PACIFIC CORP,Industrials,36328594.61,0.20178,158081,US9078181081,United States
9988,ALIBABA GROUP HOLDING LTD,Consumer Discretionary,36050763.95,0.20023,4158076,KYG017191142,China
AXP,AMERICAN EXPRESS,Financials,34975522.5,0.19426,160807,US0258161092,United States
UBER,UBER TECHNOLOGIES INC,Industrials,34909264.3,0.19389,489611,US90353T1007,United States
RY,ROYAL BANK OF CANADA,Financials,34825079.42,0.19343,358775,CA7800871021,Canada
SPGI,S&P GLOBAL INC,Financials,34761523.41,0.19307,84093,US78409V1044,United States
ISRG,INTUITIVE SURGICAL INC,Health Care,34157128.95,0.18972,91665,US46120E6023,United States
GS,GOLDMAN SACHS GROUP INC,Financials,34111571.31,0.18946,84621,US38141G1040,United States
NEE,NEXTERA ENERGY INC,Utilities,34001727.94,0.18885,531194,US65339F1012,United States
LOW,LOWES COMPANIES INC,Consumer Discretionary,33931387.32,0.18846,148308,US5486611073,United States
HON,HONEYWELL INTERNATIONAL INC,Industrials,32651750.4,0.18135,170880,US4385161066,United States
