symbol,name,sector,market_value,index_weight,amount_shares,isin,country
PSL.R,PRECIOUS SHIPPING NON-VOTING DR PC,Industrials,2308744.41,0.00308,10813600,TH0363010R10,Thailand
TABREED,TABREED,Utilities,2307332.96,0.00308,2872434,AEN000501017,United Arab Emirates
ALFAS.E,ALFA SOLAR ENERJI SANAYI VE TICARE,Information Technology,2298880.33,0.00307,815118,TREALFS00023,Turkey
688180,SHANGHAI JUNSHI BIOSCIENCES LTD A,Health Care,2299933.94,0.00307,668650,CNE1000041Z1,China
002384,SUZHOU DONGSHAN PRECISION MANUFACT,Information Technology,2298408.7,0.00307,1170300,CNE100000N79,China
TABGD.E,TAB GIDA SANAYI VE TICARET AS,Consumer Discretionary,2299138.91,0.00307,563879,TRETABG00020,Turkey
CARE,METRO HEALTHCARE INDONESIA,Health Care,2296495.13,0.00306,259760900,ID1000154909,Indonesia
002456,O FILM TECH LTD A,Information Technology,2291885.47,0.00306,1747400,CNE100000S33,China
4163,AL DAWAA MEDICAL SERVICES,Consumer Staples,2278162.99,0.00304,94325,SA15H14I11H6,Saudi Arabia
710,BOE VARITRONIX LTD,Information Technology,2274451.42,0.00304,3976000,BMG1223L1054,China
030520,HANCOM INC,Information Technology,2280829.6,0.00304,140740,KR7030520001,Korea (South)
089860,LOTTE RENTAL LTD,Industrials,2279958.81,0.00304,116151,KR7089860001,Korea (South)
082640,TONG YANG LIFE INSURANCE LTD,Financials,2278286.48,0.00304,633193,KR7082640004,Korea (South)
600702,SHEDE SPIRITS LTD A,Consumer Staples,2264947.93,0.00302,231400,CNE000000K90,China
300142,WALVAX BIOTECHNOLOGY LTD A,Health Care,2264837.76,0.00302,1151589,CNE100000WN2,China
NATGATE,NATIONGATE HOLDINGS,Information Technology,2258957.67,0.00301,6670200,MYQ0270OO007,Malaysia
300759,PHARMARON BEIJING LTD A,Health Care,2254096.67,0.00301,866125,CNE100003JW4,China
1478,Q TECHNOLOGY (GROUP) LTD,Information Technology,2252657.52,0.00301,5346000,KYG7306T1058,China
LLOYDSENGG,LLOYDS ENGINEERING WORKS LTD,Industrials,2248645.09,0.003,3415743,INE093R01011,India
AIP,ADCOCK INGRAM HOLDINGS LTD,Health Care,2242086.19,0.00299,784597,ZAE000123436,South Africa
900917,SHANGHAI HAIXIN GROUP LTD B,Health Care,2237888.32,0.00299,8108291,CNE000000DX2,China
300699,WEIHAI GUANGWEI COMPOSITES LTD A,Materials,2242449.42,0.00299,564560,CNE1000034T9,China
049070,INTOPS LTD,Information Technology,2232573.95,0.00298,116548,KR7049070006,Korea (South)
3319,A-LIVING SERVICES LTD H,Real Estate,2224272.33,0.00297,6912500,CNE100002RY5,China
535,GEMDALE PROPERTIES AND INVESTMENT,Real Estate,2228777.19,0.00297,71244000,BMG3911S1035,China
INKAT,INTRAKAT SOCIETE ANONTME OF TECHNI,Industrials,2225604.4,0.00297,421107,GRS432003028,Greece
RATNAMANI,RATNAMANI METALS AND TUBES LTD,Materials,2226634.6,0.00297,62648,INE703B01027,India
8050,IBASE TECHNOLOGY INC,Information Technology,2218732.13,0.00296,886000,TW0008050006,Taiwan
014830,UNID LTD,Materials,2218109.18,0.00296,36691,KR7014830004,Korea (South)
600521,ZHEJIANG HUAHAI PHARMACEUTICAL LTD,Health Care,2220025.72,0.00296,1070262,CNE000001DL5,China
8341,SUNNY FRIEND ENVIRONMENTAL TECHNOL,Industrials,2199693.45,0.00294,727507,TW0008341009,Taiwan
600885,HONGFA TECHNOLOGY LTD A,Industrials,2195290.16,0.00293,572568,CNE000000JK6,China
9956,ANE CAYMAN INC,Industrials,2186021.29,0.00292,3544500,KYG1904L1014,China
GRSE,GARDEN REACH SHIPBUILDERS & ENGINE,Industrials,2190689.88,0.00292,211674,INE382Z01011,India
003470,YUANTA SECURITIES KOREA LTD,Financials,2188046.48,0.00292,1125123,KR7003470002,Korea (South)
603882,GUANGZHOU KINGMED DIAGNOSTICS GROU,Health Care,2182249.3,0.00291,345100,CNE100002VW1,China
909,MING YUAN CLOUD GROUP HOLDINGS LTD,Information Technology,2178651.74,0.00291,7973000,KYG6142R1092,China
RTNPOWER,RATTANINDIA POWER LTD,Utilities,2180528.23,0.00291,20819995,INE399K01017,India
603589,ANHUI KOUZI DISTILLERY LTD A,Consumer Staples,2174961.99,0.0029,406548,CNE1000022S6,China
MCGS,MEDICARE GROUP,Health Care,2162514.12,0.00289,1879168,QA0006929754,Qatar
600754,SHANGHAI JIN JIANG INTERNATIONAL H,Consumer Discretionary,2168339.62,0.00289,570878,CNE000000MK0,China
300037,SHENZHEN CAPCHEM TECHNOLOGY LTD A,Materials,2147644.63,0.00287,482103,CNE100000K15,China
300601,SHENZHEN KANGTAI BIOLOGICAL PRODUC,Health Care,2152906.61,0.00287,765200,CNE100002Q33,China
323990,VAXCELL BIO THERAPEUTICS,Health Care,2144685.71,0.00286,175375,KR7323990002,Korea (South)
558,LK TECHNOLOGY HOLDINGS LTD,Industrials,2138299.57,0.00285,5657500,KYG5548P1054,China
688099,AMLOGIC (SHANGHAI) LTD A,Information Technology,2119030.02,0.00283,287186,CNE100003LZ3,China
581,CHINA ORIENTAL LTD,Materials,2120995.21,0.00283,15524000,BMG2108V1019,China
348210,NEXTIN INC,Information Technology,2118993.99,0.00283,46326,KR7348210006,Korea (South)
600779,SICHUAN SWELLFUN LTD A,Consumer Staples,2121159.75,0.00283,350100,CNE000000NH4,China
1848,CHINA AIRCRAFT LEASING GROUP HOLDI,Industrials,2114002.98,0.00282,5464000,KYG211241057,China
3704,UNIZYX HOLDING CORP,Information Technology,2114640.37,0.00282,1617000,TW0003704003,Taiwan
600895,SHANGHAI ZHANGJIANG HI-TECH PARK D,Real Estate,2094428.4,0.0028,841800,CNE000000JX9,China
603000,PEOPLE.CN LTD A,Communication,2084352.41,0.00278,614600,CNE100001FP0,China
AGHC,ARABI HOLDING GROUP,Industrials,2065615.06,0.00276,1326297,KW0EQ0601124,Kuwait
001470,SAMBU ENGINEERING & CONSTRUCTION L,Industrials,2070058.9,0.00276,1736156,KR7001470004,Korea (South)
688363,BLOOMAGE BIOTECHNOLOGY CORP LTD A,Health Care,2060941.33,0.00275,273586,CNE100003NL9,China
1268,CHINA MEIDONG AUTO HOLDINGS LTD,Consumer Discretionary,2059316.48,0.00275,5886000,KYG211921021,China
600536,CHINA NATIONAL SOFTWARE & SERVICE,Information Technology,2064343.52,0.00275,515780,CNE000001BB0,China
271940,ILJIN HYSOLUS LTD,Consumer Discretionary,2059847.55,0.00275,127678,KR7271940009,Korea (South)
SCMA,SURYA CITRA MEDIA,Communication,2063436.76,0.00275,260750700,ID1000125305,Indonesia
002281,ACCELINK TECHNOLOGIES LTD A,Information Technology,2043096.39,0.00273,400700,CNE100000F87,China
603486,ECOVACS ROBOTICS LTD A,Consumer Discretionary,2046808.31,0.00273,420300,CNE1000031N8,China
LSIP,PP LONDON SUMATRA INDONESIA,Consumer Staples,2047687.91,0.00273,38513200,ID1000118409,Indonesia
BUMI,BUMI RESOURCES,Energy,2029969.71,0.00271,390890000,ID1000068703,Indonesia
000069,SHENZHEN OVERSEAS CHINESE TOWN LTD,Real Estate,2032696.14,0.00271,6015702,CNE000000SS0,China
SIDO,INDUSTRI JAMU DAN FARMASI SIDO MUN,Consumer Staples,2022261.92,0.0027,49188100,ID1000130305,Indonesia
ASHOKA,ASHOKA BUILDCON LTD,Industrials,2013841.91,0.00269,986508,INE442H01029,India
020000,HANDSOME CORP,Consumer Discretionary,2014908.86,0.00269,147304,KR7020000006,Korea (South)
003620,KG MOBILITY LTD,Consumer Discretionary,2015678.07,0.00269,474687,KR7003620002,Korea (South)
031430,SHINSEGAE INTERNATIONAL INC,Consumer Discretionary,2012599.86,0.00269,157537,KR7031430002,Korea (South)
600196,SHANGHAI FOSUN PHARMACEUTICAL (GRO,Health Care,1989748.85,0.00266,633600,CNE000000X38,China
600546,SHANXI COAL INTERNATIONAL ENERGY L,Industrials,1979868.56,0.00264,898900,CNE000001FH8,China
603290,STARPOWER SEMICONDUCTOR LTD A,Information Technology,1977315.29,0.00264,102700,CNE100003RN6,China
6756,VIA LABS INC,Information Technology,1980368.21,0.00264,314000,TW0006756000,Taiwan
4157,TAIGEN BIOPHARMACEUTICALS LTD,Health Care,1963302.47,0.00262,4032000,KYG866171005,Taiwan
CANTE.E,CAN2 TERMIK AS,Utilities,1953903.53,0.00261,3377395,TRECAN200011,Turkey
300496,THUNDER SOFTWARE TECHNOLOGY LTD A,Information Technology,1955906.32,0.00261,306300,CNE1000021D0,China
YEOTK.E,YEO TEKNOLOJI ENERJI VE ENDUSTRI,Industrials,1957386.8,0.00261,311805,TREYEOT00010,Turkey
357,HAINAN MEILAN INTERNATIONAL AIRPOR,Industrials,1946066.87,0.0026,2024000,CNE1000003B2,China
POLYPLEX,POLYPLEX CORPORATION CORP LTD,Materials,1951653.24,0.0026,189146,INE633B01018,India
300454,SANGFOR TECHNOLOGIES INC A,Information Technology,1947886.41,0.0026,258200,CNE1000033T1,China
ENERY.E,ENERYA ENERJI A.S.,Utilities,1940347.45,0.00259,368309,TREENRY00016,Turkey
095660,NEOWIZ,Communication,1942289.96,0.00259,132670,KR7095660007,Korea (South)
600161,BEIJING TIANTAN BIOLOGICAL PRODUCT,Health Care,1932560.44,0.00258,497600,CNE000000WF9,China
299900,WYSIWYG STUDIOS LTD,Communication,1933752.27,0.00258,1273355,KR7299900001,Korea (South)
000799,JIUGUI LIQUOR LTD A,Consumer Staples,1927481.21,0.00257,279400,CNE000000S92,China
3454,VIVOTEK INC,Information Technology,1918628.56,0.00256,458000,TW0003454005,Taiwan
300373,YANGZHOU YANGJIE ELECTRONIC TECHNO,Information Technology,1919929.11,0.00256,393800,CNE100001R90,China
600732,SHANGHAI AIKO SOLAR ENERGY LTD A,Information Technology,1912311.66,0.00255,1074020,CNE000000LN6,China
069080,WEBZEN  INC,Communication,1910135.84,0.00255,156475,KR7069080000,Korea (South)
BTPS,BANK BTPN SYARIAH,Financials,1900955.24,0.00254,27826200,ID1000142805,Indonesia
002841,GUANGZHOU SHIYUAN ELECTRONIC TECHN,Information Technology,1900271.57,0.00254,420583,CNE100002K47,China
002244,HANGZHOU BINJIANG REAL ESTATE GROU,Real Estate,1906683.1,0.00254,2251594,CNE100000BS5,China
601958,JINDUICHENG MOLYBDENUM LTD A,Materials,1900652.49,0.00254,1151300,CNE1000009Y1,China
6679,ZILLTEK TECHNOLOGY CORP,Information Technology,1905551.0,0.00254,152000,TW0006679004,Taiwan
300763,GINLONG TECHNOLOGIES LTD A,Industrials,1884071.12,0.00251,240550,CNE100003JZ7,China
1558,YICHANG HEC CHANGJIANG PHARM CO LT,Health Care,1869617.64,0.0025,1198200,CNE1000023R6,China
002120,YUNDA HOLDING LTD A,Industrials,1846773.94,0.00246,1878037,CNE100000015,China
600072,CSSC SCIENCE & TECHNOLOGY LTD A,Industrials,1832979.16,0.00245,840100,CNE000000QR6,China
001530,DI DONGIL CORP,Consumer Discretionary,1835673.55,0.00245,93344,KR7001530005,Korea (South)
600839,SICHUAN CHANGHONG ELECTRIC LTD A,Consumer Discretionary,1830123.43,0.00244,2494300,CNE000000GJ4,China
002156,TONGFU MICROELECTRONICS LTD A,Information Technology,1826502.27,0.00244,647600,CNE1000006C3,China
AFFIN,AFFIN BANK,Financials,1818459.08,0.00243,3521700,MYL5185OO003,Malaysia
300347,HANGZHOU TIGERMED CONSULTING LTD A,Health Care,1823388.5,0.00243,255574,CNE100001KV8,China
9869,HELENS INTERNATIONAL HOLDINGS LTD,Consumer Discretionary,1821376.36,0.00243,4885000,KYG4469K1040,China
3693,AIC INC,Information Technology,1796725.97,0.0024,174000,TW0003693008,Taiwan
KLSER.E,KALESERAMIK CANAKKALE KALEBODUR S,Industrials,1799090.68,0.0024,979299,TREKALE00049,Turkey
410,SOHO CHINA LTD,Real Estate,1801048.32,0.0024,21700000,KYG826001003,China
BJBR,BANK PEMBANGUNAN DAERAH JAWA BARAT,Financials,1785482.86,0.00238,24167519,ID1000115702,Indonesia
099190,I-SENS INC,Health Care,1780151.27,0.00238,129796,KR7099190001,Korea (South)
667,CHINA EAST EDUCATION HOLDINGS LTD,Consumer Discretionary,1748155.22,0.00233,5978500,KYG2120T1004,China
4240,FAWAZ ABDULAZIZ ALHOKAIR,Consumer Discretionary,1738349.46,0.00232,554498,SA000A0LB2R6,Saudi Arabia
299030,HANA TECHNOLOGY LTD,Industrials,1727757.46,0.00231,45443,KR7299030007,Korea (South)
BECTORFOOD,MRS BECTORS FOOD SPECIALITIES LTD,Consumer Staples,1729948.98,0.00231,137668,INE495P01012,India
