symbol,name,sector,market_value,index_weight,amount_shares,isin,country
UNVR,UNILEVER INDONESIA,Consumer Staples,2788461.39,0.02202,18871700,ID1000095706,Indonesia
180640,HANJIN KAL,Industrials,2770518.37,0.02187,66268,KR7180640005,Korea (South)
TTB.R,TMBTHANACHART BANK NON-VOTING DR P,Financials,2770692.38,0.02187,58546800,TH0068010R15,Thailand
302440,SK BIOSCIENCE LTD,Health Care,2766402.27,0.02184,65260,KR7302440003,Korea (South)
IVL.R,INDORAMA VENTURES NON-VOTING DR PC,Materials,2739169.1,0.02163,4094000,TH1027010R10,Thailand
450080,ECOPRO MATERIALS LTD,Industrials,2730796.46,0.02156,33777,KR7450080007,Korea (South)
VAPORES,COMPANIA SUDAMERICANA DE VAPORES S,Industrials,2683760.51,0.02119,37044138,CLP3064M1019,Chile
AGLTX,AGILITY GLOBAL PLC,Industrials,2673079.33,0.0211,7559532,-,Kuwait
PAYTM,ONE  COMMUNICATIONS LTD,Financials,2610762.78,0.02061,561440,INE982J01020,India
251270,NETMARBLE CORP,Communication,2520383.26,0.0199,61682,KR7251270005,Korea (South)
035250,KANGWON LAND INC,Consumer Discretionary,2503687.99,0.01977,231166,KR7035250000,Korea (South)
MRDIY,MR D.I.Y. GROUP (M),Consumer Discretionary,2503408.7,0.01976,8036950,MYL5296OO008,Malaysia
TOWR,SARANA MENARA NUSANTARA,Communication,2482958.42,0.0196,49890500,ID1000128804,Indonesia
MGLU3,MAGAZINE LUIZA SA,Consumer Discretionary,2407652.33,0.01901,8424536,BRMGLUACNOR2,Brazil
TOASO.E,TOFAS TURK OTOMOBIL FABRIKASI A,Consumer Discretionary,2399088.02,0.01894,298419,TRATOASO91H3,Turkey
AWC.R,ASSET WORLD CORP PCL NON-VOTING DR,Consumer Discretionary,2391556.02,0.01888,19804400,TH9436010R15,Thailand
GPSC.R,GLOBAL POWER SYNERGY PCL NON-VOTIN,Utilities,2115871.35,0.01671,1579600,TH6488010R19,Thailand
MTC.R,MUANGTHAI CAPITAL ORS NON-VOTING D,Financials,2036469.71,0.01608,1741300,TH6068010R19,Thailand
ANTM,ANEKA TAMBANG,Materials,1974061.21,0.01559,18510400,ID1000106602,Indonesia
2615,WAN HAI LINES LTD,Industrials,1927141.13,0.01521,1453015,TW0002615002,Taiwan
PCO,PEPCO GROUP NV,Consumer Discretionary,1896578.01,0.01497,407925,NL0015000AU7,Poland
377300,KAKAOPAY CORP,Financials,1664429.7,0.01314,67709,KR7377300009,Korea (South)
018880,HANON SYSTEMS,Consumer Discretionary,1523343.17,0.01203,415800,KR7018880005,Korea (South)
QFLS,QATAR FUEL,Energy,1047361.12,0.00827,260481,QA0001200771,Qatar
EAST,EASTERN CO.,Consumer Staples,424425.5,0.00335,790715,EGS37091C013,Egypt
HRHO,EFG-HERMES HLDGS,Financials,290337.3,0.00229,822113,EGS69101C011,Egypt
IRAO,INTER RAO EES,Utilities,2084.67,2e-05,19580300,RU000A0JPNM1,Russian Federation
ALRS,AK ALROSA,Materials,135.35,0.0,1271273,RU0007252813,Russian Federation
VTBR,BANK VTB,Financials,123.61,0.0,1160968000,RU000A0JP5V6,Russian Federation
GAZP,GAZPROM,Energy,597.65,0.0,5613440,RU0007661625,Russian Federation
GMKN,GMK NORILSKIY NIKEL,Materials,3.17,0.0,2978900,RU0007288411,Russian Federation
MTSS,MOBILNYE TELESISTEMY,Communication,44.6,0.0,418880,RU0007775219,Russian Federation
MOEX,MOSCOW EXCHANGE,Financials,67.27,0.0,631870,RU000A0JR4A1,Russian Federation
LKOH,NK LUKOIL,Energy,21.0,0.0,197285,RU0009024277,Russian Federation
ROSN,NK ROSNEFT,Energy,56.74,0.0,532936,RU000A0J2Q06,Russian Federation
NVTK,NOVATEK,Energy,46.12,0.0,433150,RU000A0DKVS5,Russian Federation
NLMK,NOVOLIPETSK STEEL,Materials,83.6,0.0,785210,RU0009046452,Russian Federation
OZON,OZON HOLDINGS ADR PLC,Consumer Discretionary,0.06,0.0,534,US69269L1044,Russian Federation
PHOR,PHOSAGRO,Materials,2.39,0.0,22411,RU000A0JRKT8,Russian Federation
PHOJY,PJSC PHOSAGRO GDR,Materials,0.0,0.0,1,US71922G3083,Russian Federation
PHOR,PJSC PHOSAGRO GDR,Materials,4.33,0.0,433,US71922G4073,Russian Federation
PLZL,POLYUS,Materials,1.43,0.0,13397,RU000A0JNAA8,Russian Federation
SBER,SBERBANK ROSSII,Financials,525.29,0.0,4933827,RU0009029540,Russian Federation
CHMF,SEVERSTAL,Materials,11.62,0.0,109143,RU0009046510,Russian Federation
SNGS,SURGUTNEFTEGAZ,Energy,390.84,0.0,3671000,RU0008926258,Russian Federation
SNGSP,SURGUTNEFTEGAZ PREF,Energy,323.31,0.0,3036700,RU0009029524,Russian Federation
TATN,TATNEFT,Energy,72.99,0.0,685605,RU0009033591,Russian Federation
TCSG,TCS GROUP HOLDING REPR  CLASS A RE,Financials,6.18,0.0,58085,US87238U2033,Russian Federation
RUAL,UNITED COMPANY RUSAL,Materials,159.8,0.0,1500930,RU000A1025V3,Russian Federation
VKCO,VK COMPANY LTD,Communication,0.09,0.0,873,US5603172082,Russian Federation
FIVE,X5 RETAIL GROUP GDR NV,Consumer Staples,7.21,0.0,67732,US98387E2054,Russian Federation
YNDX,YANDEX NV CLASS A,Communication,15.89,0.0,149219,NL0009805522,Russian Federation
